"Album","Word","Meaning","PartOfSpeech","Pronunciation","Example_English","Example_Vietnamese"
"ETS-LC-1","entirely","hoàn toàn, trọn vẹn","adverb","/ɪnˈtaɪr.li/","The success of the plan depends entirely on teamwork.","Thành công của kế hoạch hoàn toàn phụ thuộc vào làm việc nhóm."
"ETS-LC-1","investigation","cuộc điều tra","noun","/ɪnˌves.təˈɡeɪ.ʃən/","The company launched an investigation into the data breach.","Công ty đã mở cuộc điều tra về việc rò rỉ dữ liệu."
"ETS-LC-1","lack","sự thiếu hụt","noun","/læk/","The project failed due to a lack of funding.","Dự án thất bại do thiếu nguồn tài trợ."
"ETS-LC-1","lack","thiếu, không có","verb","/læk/","Many employees lack the skills required for the role.","Nhiều nhân viên thiếu các kỹ năng cần thiết cho vị trí này."
"ETS-LC-1","qualified","đủ trình độ","adj","/ˈkwɑː.lə.faɪd/","Only qualified candidates will be considered for the role.","Chỉ những ứng viên đủ trình độ mới được xem xét cho vị trí này."
"ETS-LC-1","preference","sự ưu tiên, sở thích hơn","noun","/ˈpref.ər.əns/","We give preference to applicants with relevant experience.","Chúng tôi ưu tiên các ứng viên có kinh nghiệm liên quan."
"ETS-LC-1","negotiate","đàm phán để đạt thỏa thuận","verb","/nəˈɡoʊ.ʃi.eɪt/","The manager is negotiating a new contract with suppliers.","Quản lý đang đàm phán hợp đồng mới với các nhà cung cấp."
"ETS-LC-1","oversee","giám sát","verb","/ˌoʊ.vɚˈsiː/","He was hired to oversee the entire construction project.","Anh ấy được thuê để giám sát toàn bộ dự án xây dựng."
"ETS-LC-1","description","bản mô tả đặc điểm","noun","/dɪˈskrɪp.ʃən/","The job description outlines all the key responsibilities.","Bản mô tả công việc nêu rõ tất cả trách nhiệm chính."
"ETS-LC-1","merger","sát nhập","noun","/ˈmɝː.dʒɚ/","The merger created one of the largest firms in the industry.","Vụ sáp nhập tạo ra một trong những công ty lớn nhất ngành."
"ETS-LC-1","assignment","nhiệm vụ được giao","noun","/əˈsaɪn.mənt/","She completed the assignment before the deadline.","Cô ấy hoàn thành nhiệm vụ trước hạn chót."
"ETS-LC-1","out of service","không hoạt động","adj","/aʊt əv ˈsɝː.vɪs/","The elevator is currently out of service for maintenance.","Thang máy hiện không hoạt động để bảo trì."
"ETS-LC-1","mention","đề cập","verb","/ˈmen.ʃən/","He didn’t mention the delay during the meeting.","Anh ấy không đề cập đến sự chậm trễ trong cuộc họp."
"ETS-LC-1","initiative","sáng kiến","noun","/ɪˈnɪʃ.ə.tɪv/","The company launched a new initiative to reduce waste.","Công ty đã khởi động một sáng kiến mới nhằm giảm chất thải."
"ETS-LC-1","avoid","tránh né, không làm hoặc gặp phải điều gì","verb","/əˈvɔɪd/","Please avoid using your phone during the session.","Vui lòng tránh sử dụng điện thoại trong suốt buổi họp."
"ETS-LC-1","certification","giấy chứng nhận chính thức","noun","/ˌsɝː.t̬ə.fəˈkeɪ.ʃən/","Applicants must show proof of certification.","Ứng viên phải xuất trình bằng chứng về chứng nhận."
"ETS-LC-1","annual","hàng năm","adj","/ˈæn.ju.əl/","The company holds an annual meeting with shareholders.","Công ty tổ chức cuộc họp thường niên với các cổ đông."
"ETS-LC-1","donor","người quyên góp","noun","/ˈdoʊ.nɚ/","Each donor received a thank-you letter from the charity.","Mỗi người quyên góp đều nhận được thư cảm ơn từ tổ chức từ thiện."
"ETS-LC-1","unfortunately","đáng tiếc","adverb","/ʌnˈfɔːr.tʃən.ət.li/","Unfortunately, the item is currently out of stock.","Thật không may, mặt hàng này hiện đã hết hàng."
"ETS-LC-1","remove","lấy đi, loại bỏ","verb","/rɪˈmuːv/","Please remove your belongings from the aisle.","Vui lòng dời đồ đạc của bạn khỏi lối đi."
"ETS-LC-1","glance","nhìn thoáng qua","verb","/ɡlæns/","She glanced at her phone during the meeting.","Cô ấy liếc nhìn điện thoại trong cuộc họp."
"ETS-LC-1","assign","giao nhiệm vụ","verb","/əˈsaɪn/","The manager assigned tasks to each team member.","Quản lý đã phân công nhiệm vụ cho từng thành viên trong nhóm."
"ETS-LC-1","press conference","buổi họp báo","noun","/ˈpres ˌkɑːn.fɚ.əns/","The CEO held a press conference to address the issue.","Giám đốc điều hành tổ chức họp báo để giải quyết vấn đề."
"ETS-LC-1","crucial","cực kỳ quan trọng","adj","/ˈkruː.ʃəl/","Timing is crucial for the success of the project.","Thời điểm là yếu tố then chốt cho sự thành công của dự án."
"ETS-LC-1","assemble","tập hợp hoặc lắp ráp lại","verb","/əˈsem.bəl/","The team assembled in the conference room at 9 a.m.","Nhóm đã tập hợp tại phòng họp lúc 9 giờ sáng."
"ETS-LC-1","opportunity","cơ hội","noun","/ˌɑː.pɚˈtuː.nə.t̬i/","This internship offers a great opportunity for growth.","Thực tập này mang lại cơ hội tuyệt vời để phát triển."
"ETS-LC-1","capacity","khả năng chứa đựng hoặc năng lực làm việc","noun","/kəˈpæs.ə.t̬i/","The venue has a seating capacity of 500 people.","Địa điểm có sức chứa 500 chỗ ngồi."
"ETS-LC-1","adjacent to","nằm kế bên, gần với","preposition","/əˈdʒeɪ.sənt tu/","The cafeteria is located adjacent to the main lobby.","Căng tin nằm kế bên sảnh chính."
"ETS-LC-1","designated","được chỉ định cho mục đích cụ thể","adj","/ˈdez.ɪɡ.neɪ.t̬ɪd/","Please use the designated area for smoking.","Vui lòng sử dụng khu vực được chỉ định để hút thuốc."
"ETS-LC-1","alternate","luân phiên, thay phiên","adj","/ˈɔːl.tɚ.nət/","We will meet on alternate Mondays for the project.","Chúng ta sẽ họp vào các ngày thứ Hai cách tuần cho dự án."
"ETS-LC-1","feature","bao gồm đặc điểm nổi bật","verb","/ˈfiː.tʃɚ/","The brochure features all the new product updates.","Tờ rơi giới thiệu tất cả các cập nhật sản phẩm mới."
"ETS-LC-1","proceeds","tiền thu được","noun","/ˈproʊ.siːdz/","All proceeds from the event will go to charity.","Toàn bộ tiền thu được từ sự kiện sẽ được quyên góp cho từ thiện."
"ETS-LC-1","refreshments","đồ ăn nhẹ và đồ uống tại sự kiện","noun","/rɪˈfreʃ.mənts/","Light refreshments will be served after the seminar.","Đồ ăn nhẹ sẽ được phục vụ sau buổi hội thảo."
"ETS-LC-1","refer to","đề cập đến","verb","/rɪˈfɝː tu/","The speaker referred to last year’s report in his talk.","Diễn giả đã đề cập đến báo cáo năm ngoái trong bài nói."
"ETS-LC-1","guest speaker","diễn giả khách mời","noun","/ɡest ˈspiː.kɚ/","We invited a guest speaker to share insights on leadership.","Chúng tôi mời một diễn giả khách mời chia sẻ về lãnh đạo."
"ETS-LC-1","uncover","phát hiện, tiết lộ điều bị che giấu","verb","/ʌnˈkʌ.vɚ/","The audit uncovered several accounting errors.","Cuộc kiểm toán đã phát hiện một số lỗi kế toán."
"ETS-LC-1","intricate","phức tạp, nhiều chi tiết nhỏ","adj","/ˈɪn.trə.kət/","The design on the fabric is extremely intricate.","Thiết kế trên vải cực kỳ phức tạp."
"ETS-LC-1","revise","xem lại và chỉnh sửa","verb","/rɪˈvaɪz/","Please revise the document before submission.","Vui lòng chỉnh sửa tài liệu trước khi nộp."
"ETS-LC-1","commemorate","tưởng nhớ, kỷ niệm","verb","/kəˈmem.ə.reɪt/","A ceremony was held to commemorate the founding of the company.","Một buổi lễ được tổ chức để kỷ niệm ngày thành lập công ty."
"ETS-LC-1","association","hiệp hội hoặc mối liên hệ giữa người, nhóm","noun","/əˌsoʊ.siˈeɪ.ʃən/","She is a member of a professional association.","Cô ấy là thành viên của một hiệp hội chuyên ngành."
"ETS-LC-2","insert","đưa vào, đặt vào trong","verb","/ɪnˈsɝːt/","Please insert your card into the machine.","Vui lòng đưa thẻ của bạn vào máy."
"ETS-LC-2","arrange","sắp xếp","verb","/əˈreɪndʒ/","They arranged the chairs in a circle.","Họ đã sắp xếp các ghế thành vòng tròn."
"ETS-LC-2","discard","vứt bỏ","verb","/dɪˈskɑːrd/","Please discard any outdated materials.","Vui lòng vứt bỏ mọi tài liệu lỗi thời."
"ETS-LC-2","empty","làm trống, lấy hết đồ bên trong ra","verb","/ˈemp.ti/","She emptied the trash bin before leaving.","Cô ấy đã đổ thùng rác trước khi rời đi."
"ETS-LC-2","scatter","rải rác, phân tán nhiều hướng","verb","/ˈskæt̬.ɚ/","Leaves were scattered across the walkway.","Lá rơi rải rác khắp lối đi."
"ETS-LC-2","canopy","mái che hoặc vòm phủ bên trên","noun","/ˈkæn.ə.pi/","A canopy was set up to protect guests from the sun.","Một mái che đã được dựng lên để bảo vệ khách khỏi nắng."
"ETS-LC-2","display","trưng bày để mọi người thấy","verb","/dɪˈspleɪ/","The store displays its newest products near the entrance.","Cửa hàng trưng bày sản phẩm mới nhất gần lối vào."
"ETS-LC-2","budget","ngân sách","noun","/ˈbʌdʒ.ɪt/","The department submitted its annual budget for approval.","Phòng ban đã nộp ngân sách hàng năm để phê duyệt."
"ETS-LC-2","main branch","chi nhánh chính","noun","/meɪn bræntʃ/","You can submit your application at the main branch.","Bạn có thể nộp đơn tại chi nhánh chính."
"ETS-LC-2","appointment","cuộc hẹn chính thức","noun","/əˈpɔɪnt.mənt/","I have a dental appointment at 3 p.m.","Tôi có cuộc hẹn nha sĩ lúc 3 giờ chiều."
"ETS-LC-2","stop by","ghé qua","verb","/stɑːp baɪ/","I'll stop by your office after lunch.","Tôi sẽ ghé qua văn phòng bạn sau bữa trưa."
"ETS-LC-2","make it","đến nơi hoặc hoàn thành đúng lúc","verb","/meɪk ɪt/","I can’t make it to the meeting tomorrow.","Tôi không thể tham dự cuộc họp ngày mai."
"ETS-LC-2","fill the position","tuyển dụng cho vị trí trống","verb","/fɪl ðə pəˈzɪʃ.ən/","We are looking to fill the position by next month.","Chúng tôi đang tìm người để lấp vào vị trí này trong tháng tới."
"ETS-LC-2","innovative","mang tính đổi mới, sáng tạo","adj","/ˈɪn.ə.veɪ.t̬ɪv/","The company is known for its innovative solutions.","Công ty nổi tiếng với các giải pháp đổi mới."
"ETS-LC-2","feature","đặc điểm nổi bật","noun","/ˈfiː.tʃɚ/","The main feature of the phone is its long battery life.","Tính năng chính của điện thoại là pin dùng lâu."
"ETS-LC-2","revise","xem lại và chỉnh sửa","verb","/rɪˈvaɪz/","Please revise the proposal before the meeting.","Vui lòng chỉnh sửa đề xuất trước buổi họp."
"ETS-LC-2","warranty","bảo hành","noun","/ˈwɔːr.ən.t̬i/","The product comes with a one-year warranty.","Sản phẩm đi kèm với bảo hành một năm."
"ETS-LC-2","property","bất động sản hoặc tài sản sở hữu","noun","/ˈprɑː.pɚ.t̬i/","The company recently purchased a new property downtown.","Công ty vừa mua một bất động sản mới ở trung tâm thành phố."
"ETS-LC-2","confirmation","sự xác nhận","noun","/ˌkɑːn.fɚˈmeɪ.ʃən/","You will receive a confirmation email after booking.","Bạn sẽ nhận được email xác nhận sau khi đặt chỗ."
"ETS-LC-2","avoid","tránh né, không gặp phải","verb","/əˈvɔɪd/","We recommend taking alternate routes to avoid traffic.","Chúng tôi khuyên bạn nên đi đường khác để tránh tắc nghẽn."
"ETS-LC-2","electrical failure","sự cố điện","noun","/ɪˈlek.trɪ.kəl ˈfeɪ.ljɚ/","The system shut down due to an electrical failure.","Hệ thống đã tắt do sự cố điện."
"ETS-LC-2","occur","xảy ra, diễn ra","verb","/əˈkɝː/","The problem occurred during the final test.","Sự cố xảy ra trong quá trình kiểm tra cuối cùng."
"ETS-LC-2","unavailable","không có sẵn","adj","/ˌʌn.əˈveɪ.lə.bəl/","The manager is currently unavailable for calls.","Người quản lý hiện không thể nhận cuộc gọi."
"ETS-LC-2","incorrect","sai, không đúng","adj","/ˌɪn.kəˈrekt/","The form was returned due to incorrect information.","Mẫu đơn bị trả lại do thông tin sai."
"ETS-LC-2","absolutely","hoàn toàn, chắc chắn","adverb","/ˈæb.sə.luːt.li/","The manager said the decision was absolutely final.","Quản lý nói rằng quyết định là hoàn toàn cuối cùng."
"ETS-LC-2","acquire","đạt được, giành được điều gì đó","verb","/əˈkwaɪɚ/","The company acquired a smaller competitor last year.","Công ty đã mua lại một đối thủ nhỏ hơn vào năm ngoái."
"ETS-LC-2","significant","đáng kể, quan trọng","adj","/sɪɡˈnɪf.ə.kənt/","There was a significant increase in sales last quarter.","Doanh số đã tăng đáng kể trong quý vừa qua."
"ETS-LC-2","restoration","sự phục hồi, sửa chữa lại trạng thái ban đầu","noun","/ˌres.təˈreɪ.ʃən/","The building is closed for restoration work.","Tòa nhà đang đóng cửa để phục hồi."
"ETS-LC-2","stunning","đẹp mắt, ấn tượng mạnh","adj","/ˈstʌn.ɪŋ/","The venue offers a stunning view of the city skyline.","Địa điểm này có tầm nhìn tuyệt đẹp ra đường chân trời thành phố."
"ETS-LC-2","unveil","tiết lộ, công bố lần đầu","verb","/ʌnˈveɪl/","The company will unveil its new product next week.","Công ty sẽ ra mắt sản phẩm mới vào tuần tới."
"ETS-LC-2","anniversary","ngày kỷ niệm","noun","/ˌæn.əˈvɝː.sɚ.i/","They celebrated the company’s 20th anniversary.","Họ đã kỷ niệm 20 năm thành lập công ty."
"ETS-LC-2","informal","không trang trọng, thân mật, thoải mái","adj","/ɪnˈfɔːr.məl/","The meeting was kept informal to encourage open discussion.","Cuộc họp được giữ không trang trọng để khuyến khích thảo luận cởi mở."
"ETS-LC-2","pharmaceutical","liên quan đến dược phẩm","adj","/ˌfɑːr.məˈsuː.t̬ɪ.kəl/","The pharmaceutical industry is heavily regulated.","Ngành dược phẩm được quản lý chặt chẽ."
"ETS-LC-2","manufacturer","nhà sản xuất","noun","/ˌmæn.jəˈfæk.tʃɚ.ɚ/","The manufacturer guarantees all its products.","Nhà sản xuất đảm bảo tất cả sản phẩm của họ."
"ETS-LC-2","mandatory","bắt buộc","adj","/ˈmæn.də.tɔːr.i/","Attendance at the safety training is mandatory.","Việc tham gia buổi huấn luyện an toàn là bắt buộc."
"ETS-LC-2","entire","toàn bộ","adj","/ɪnˈtaɪr/","The entire staff attended the meeting.","Toàn bộ nhân viên đã tham dự cuộc họp."
"ETS-LC-2","funding","tài trợ","noun","/ˈfʌn.dɪŋ/","The project received government funding last year.","Dự án đã nhận được tài trợ từ chính phủ vào năm ngoái."
"ETS-LC-2","extend","mở rộng hoặc gia hạn","verb","/ɪkˈstend/","The hotel agreed to extend our reservation by one day.","Khách sạn đã đồng ý gia hạn đặt chỗ thêm một ngày."
"ETS-LC-2","assistance","sự giúp đỡ, hỗ trợ","noun","/əˈsɪs.təns/","Please contact us if you need further assistance.","Vui lòng liên hệ nếu bạn cần thêm hỗ trợ."
"ETS-LC-2","apply for","nộp đơn xin","verb","/əˈplaɪ fɔːr/","She applied for a position in the marketing department.","Cô ấy đã nộp đơn xin vào vị trí ở bộ phận marketing."
"ETS-LC-2","grant","khoản trợ cấp","noun","/ɡrænt/","The university received a grant for renewable energy research.","Trường đại học đã nhận được khoản trợ cấp cho nghiên cứu năng lượng tái tạo."
"ETS-LC-2","segment","phân khúc","noun","/ˈseɡ.mənt/","The market was divided into different customer segments.","Thị trường được chia thành các phân khúc khách hàng khác nhau."
"ETS-LC-2","state-of-the-art","hiện đại nhất, tiên tiến nhất","adj","/ˌsteɪt.əv.ðiːˈɑːrt/","The office is equipped with state-of-the-art technology.","Văn phòng được trang bị công nghệ hiện đại nhất."
"ETS-LC-2","athlete","vận động viên","noun","/ˈæθ.liːt/","The athlete broke the national record in the final race.","Vận động viên đã phá kỷ lục quốc gia trong cuộc đua chung kết."
"ETS-LC-2","compete","cạnh tranh","verb","/kəmˈpiːt/","Several companies are competing for the contract.","Nhiều công ty đang cạnh tranh để giành được hợp đồng."
"ETS-LC-2","delighted","vui mừng, hài lòng","adj","/dɪˈlaɪ.t̬ɪd/","We are delighted to announce the opening of our new branch.","Chúng tôi rất vui mừng thông báo khai trương chi nhánh mới."
"ETS-LC-2","institute","viện nghiên cứu hoặc đào tạo","noun","/ˈɪn.stə.tuːt/","The institute focuses on environmental research.","Viện này tập trung vào nghiên cứu môi trường."
"ETS-LC-2","initiative","sáng kiến","noun","/ɪˈnɪʃ.ə.t̬ɪv/","The city launched a new recycling initiative.","Thành phố đã khởi động một sáng kiến tái chế mới."
"ETS-LC-2","preserve","bảo tồn, giữ gìn khỏi hư hại hoặc biến mất","verb","/prɪˈzɝːv/","The organization works to preserve historical buildings.","Tổ chức này làm việc để bảo tồn các tòa nhà lịch sử."
"ETS-LC-2","allocate","phân bổ cho mục đích cụ thể","verb","/ˈæl.ə.keɪt/","The budget was allocated to various departments.","Ngân sách được phân bổ cho các phòng ban khác nhau."
"ETS-LC-2","preliminary","sơ bộ, ban đầu","adj","/prɪˈlɪm.ə.ner.i/","The preliminary report shows promising results.","Báo cáo sơ bộ cho thấy kết quả đầy hứa hẹn."
"ETS-LC-2","findings","phát hiện nghiên cứu","noun","/ˈfaɪn.dɪŋz/","The findings of the survey were presented at the conference.","Các phát hiện của cuộc khảo sát đã được trình bày tại hội nghị."
"ETS-LC-2","forecasting","dự báo tương lai dựa trên dữ liệu hiện tại","noun","/ˈfɔːr.kæs.tɪŋ/","Accurate forecasting helps companies prepare for market changes.","Dự báo chính xác giúp các công ty chuẩn bị cho sự thay đổi của thị trường."
"ETS-LC-2","customize","tùy chỉnh theo nhu cầu","verb","/ˈkʌs.tə.maɪz/","You can customize your account settings anytime.","Bạn có thể tùy chỉnh cài đặt tài khoản của mình bất cứ lúc nào."
"ETS-LC-2","transplant","cấy ghép hoặc chuyển vật từ nơi này sang nơi khác","verb","/ˈtræns.plænt/","The patient underwent a successful heart transplant.","Bệnh nhân đã trải qua ca ghép tim thành công."
"ETS-LC-2","variety","sự đa dạng, nhiều loại khác nhau","noun","/vəˈraɪ.ə.t̬i/","The store offers a wide variety of office supplies.","Cửa hàng cung cấp nhiều loại đồ dùng văn phòng khác nhau."
"ETS-LC-2","resident","cư dân","noun","/ˈrez.ə.dənt/","Only city residents are eligible for this discount.","Chỉ cư dân thành phố mới đủ điều kiện nhận ưu đãi này."
"ETS-LC-2","promotion","sự thăng chức hoặc chương trình khuyến mãi","noun","/prəˈmoʊ.ʃən/","The company launched a promotion for its new product.","Công ty đã tung ra chương trình khuyến mãi cho sản phẩm mới."
"ETS-LC-2","fill out","điền vào mẫu đơn","verb","/fɪl aʊt/","Please fill out the registration form before the deadline.","Vui lòng điền vào mẫu đăng ký trước thời hạn."
"ETS-LC-2","receipt","biên lai xác nhận thanh toán","noun","/rɪˈsiːt/","Keep your receipt in case you need to return the item.","Giữ lại biên lai phòng khi bạn cần trả lại hàng."
"ETS-LC-2","engage","tham gia hoặc thu hút sự chú ý","verb","/ɪnˈɡeɪdʒ/","The speaker tried to engage the audience with questions.","Diễn giả cố gắng thu hút khán giả bằng các câu hỏi."
"ETS-LC-2","reside","sống tại, cư trú","verb","/rɪˈzaɪd/","He currently resides in a quiet neighborhood.","Anh ấy hiện đang sống ở một khu phố yên tĩnh."
"ETS-LC-2","stimulation","sự kích thích phát triển","noun","/ˌstɪm.jəˈleɪ.ʃən/","The new program provides mental stimulation for seniors.","Chương trình mới cung cấp sự kích thích tinh thần cho người cao tuổi."
"ETS-LC-2","representative","người đại diện","noun","/ˌrep.rɪˈzen.tə.t̬ɪv/","A company representative will attend the trade show.","Đại diện công ty sẽ tham dự hội chợ thương mại."
"ETS-LC-2","permission","sự cho phép","noun","/pɚˈmɪʃ.ən/","You need written permission to access this area.","Bạn cần sự cho phép bằng văn bản để vào khu vực này."
"ETS-LC-2","certified","được chứng nhận","adj","/ˈsɝː.t̬ə.faɪd/","Only certified technicians can operate this machine.","Chỉ kỹ thuật viên được chứng nhận mới được vận hành máy này."
"ETS-LC-2","determine","quyết định hoặc xác định điều gì đó","verb","/dɪˈtɝː.mɪn/","The manager will determine the schedule next week.","Quản lý sẽ quyết định lịch trình vào tuần tới."
"ETS-LC-2","upcoming","sắp tới","adj","/ˈʌpˌkʌm.ɪŋ/","The upcoming event has attracted a lot of attention.","Sự kiện sắp tới đã thu hút rất nhiều sự chú ý."
"ETS-LC-2","dependable","đáng tin cậy","adj","/dɪˈpen.də.bəl/","She is a dependable employee who always meets deadlines.","Cô ấy là nhân viên đáng tin cậy, luôn hoàn thành đúng hạn."
