"Category","Album","Word","Meaning","PartOfSpeech","Pronunciation","Example_English","Example_Vietnamese"
"Part7_Topics","cam-on-cao-loi-p7","defective","bị lỗi, không hoạt động đúng","adj","/dɪˈfek.tɪv/","Please return the defective unit and we will issue a refund.","Vui lòng trả lại thiết bị bị lỗi và chúng tôi sẽ hoàn tiền."
"Part7_Topics","cam-on-cao-loi-p7","delay","trì hoãn, làm chậm lại","verb","/dɪˈleɪ/","We apologize for the delay in shipping your order.","Chúng tôi xin lỗi vì sự chậm trễ trong việc giao đơn hàng của bạn."
"Part7_Topics","cam-on-cao-loi-p7","enclosed","đính kèm","adj","/ɪnˈkloʊzd/","Please find the invoice enclosed with this letter.","Vui lòng xem hóa đơn được đính kèm cùng thư này."
"Part7_Topics","cam-on-cao-loi-p7","grateful","biết ơn","adj","/ˈɡreɪt.fəl/","We are very grateful for your continued support.","Chúng tôi rất biết ơn sự ủng hộ liên tục của bạn."
"Part7_Topics","cam-on-cao-loi-p7","in recognition of","để ghi nhận, tôn vinh ai đó vì thành tích hoặc đóng góp","preposition","/ɪn ˌrek.əɡˈnɪʃ.ən əv/","In recognition of your 10 years of service, we are giving you a special award.","Để ghi nhận 10 năm cống hiến của bạn, chúng tôi trao tặng bạn một giải thưởng đặc biệt."
"Part7_Topics","cam-on-cao-loi-p7","invaluable","vô giá, rất quý giá","adj","/ɪnˈvæl.jə.bəl/","Your feedback has been invaluable to the success of our project.","Phản hồi của bạn vô cùng quý giá đối với sự thành công của dự án của chúng tôi."
"Part7_Topics","cam-on-cao-loi-p7","on behalf of","thay mặt cho","preposition","/ɑːn bɪˈhæf əv/","On behalf of the entire team, I’d like to thank you for your support.","Thay mặt cả nhóm, tôi xin cảm ơn bạn vì sự ủng hộ của bạn."
"Part7_Topics","cam-on-cao-loi-p7","patronage","sự ủng hộ của khách hàng","noun","/ˈpeɪ.trə.nɪdʒ/","We appreciate your continued patronage and look forward to serving you again.","Chúng tôi trân trọng sự ủng hộ liên tục của bạn và mong được phục vụ bạn lần nữa."
"Part7_Topics","cam-on-cao-loi-p7","regretfully","một cách đáng tiếc","adverb","/rɪˈɡret.fəl.i/","We regretfully inform you that your application was not successful.","Chúng tôi rất tiếc phải thông báo rằng đơn ứng tuyển của bạn không thành công."
"Part7_Topics","cam-on-cao-loi-p7","voucher","phiếu quà tặng hoặc phiếu mua hàng","noun","/ˈvaʊ.tʃɚ/","You will receive a $10 voucher as a thank-you for your feedback.","Bạn sẽ nhận được phiếu quà tặng trị giá 10 đô như một lời cảm ơn vì đã phản hồi."
"Part7_Topics","le-ky-niem-p7","catering","dịch vụ ăn uống cho sự kiện","noun","/ˈkeɪ.t̬ɚ.ɪŋ/","The company hired a local firm to handle the catering for the anniversary event.","Công ty đã thuê một đơn vị địa phương phụ trách dịch vụ ăn uống cho sự kiện kỷ niệm."
"Part7_Topics","le-ky-niem-p7","celebrate","kỷ niệm, tổ chức vui mừng điều gì đó","verb","/ˈsel.ə.breɪt/","They plan to celebrate their 10th anniversary with a formal dinner.","Họ dự định kỷ niệm 10 năm thành lập bằng một bữa tối trang trọng."
"Part7_Topics","le-ky-niem-p7","commemorate","tưởng niệm, kỷ niệm sự kiện hoặc người quan trọng","verb","/kəˈmem.ə.reɪt/","The ceremony was held to commemorate the company’s 50th anniversary.","Buổi lễ được tổ chức để kỷ niệm 50 năm thành lập công ty."
"Part7_Topics","le-ky-niem-p7","in honor of","để vinh danh ai đó hoặc điều gì đó","preposition","/ɪn ˈɑː.nɚ əv/","The dinner was held in honor of the company’s retiring CEO.","Bữa tối được tổ chức để vinh danh giám đốc điều hành sắp nghỉ hưu của công ty."
"Part7_Topics","le-ky-niem-p7","on-site","tại chỗ","adj","/ˌɑːnˈsaɪt/","There will be on-site catering available during the anniversary celebration.","Sẽ có dịch vụ ăn uống tại chỗ trong suốt buổi lễ kỷ niệm."
"Part7_Topics","le-ky-niem-p7","organize","tổ chức","verb","/ˈɔːr.ɡən.aɪz/","The HR department will organize a party to celebrate the company’s anniversary.","Phòng nhân sự sẽ tổ chức một bữa tiệc để kỷ niệm ngày thành lập công ty."
"Part7_Topics","le-ky-niem-p7","participant","người tham gia","noun","/pɑːrˈtɪs.ə.pənt/","Each participant received a commemorative certificate.","Mỗi người tham gia đều nhận được giấy chứng nhận kỷ niệm."
"Part7_Topics","le-ky-niem-p7","present","trao tặng, giới thiệu hoặc trình bày điều gì đó","verb","/prɪˈzent/","The mayor will present awards to the longest-serving employees.","Thị trưởng sẽ trao giải cho những nhân viên làm việc lâu năm nhất."
"Part7_Topics","le-ky-niem-p7","proceedings","diễn biến chính thức của sự kiện","noun","/prəˈsiː.dɪŋz/","The master of ceremonies opened the proceedings with a short welcome speech.","Người dẫn chương trình đã bắt đầu buổi lễ với một bài phát biểu chào mừng ngắn gọn."
"Part7_Topics","le-ky-niem-p7","reception","buổi tiệc chào đón trang trọng","noun","/rɪˈsep.ʃən/","A formal reception will follow the anniversary ceremony.","Một buổi tiệc trang trọng sẽ diễn ra sau lễ kỷ niệm."
"Part7_Topics","le-ky-niem-p7","register","đăng ký tham gia","verb","/ˈredʒ.ə.stɚ/","Please register for the celebration by completing the online form.","Vui lòng đăng ký tham dự buổi lễ bằng cách điền vào biểu mẫu trực tuyến."
"Part7_Topics","le-ky-niem-p7","select","chọn lựa từ nhóm","verb","/səˈlekt/","Ten outstanding employees were selected to receive awards.","Mười nhân viên xuất sắc đã được chọn để nhận giải."
"Part7_Topics","le-ky-niem-p7","take place","diễn ra, xảy ra","verb","/teɪk pleɪs/","The award ceremony will take place at 6 P.M. in the main auditorium.","Lễ trao giải sẽ diễn ra lúc 6 giờ tối tại hội trường chính."
"Part7_Topics","le-ky-niem-p7","venue","địa điểm tổ chức sự kiện","noun","/ˈven.juː/","They are searching for a venue large enough to host the company’s anniversary celebration.","Họ đang tìm một địa điểm đủ lớn để tổ chức lễ kỷ niệm của công ty."
"Part7_Topics","mua-giam-gia-p7","a variety of","nhiều loại khác nhau","determiner","/ə vəˈraɪ.ə.t̬i əv/","The store offers a variety of gift items at discounted prices.","Cửa hàng cung cấp nhiều loại quà tặng với mức giá giảm."
"Part7_Topics","mua-giam-gia-p7","additional","bổ sung, thêm vào","adj","/əˈdɪʃ.ən.əl/","Customers who spend over $50 will receive an additional discount.","Khách hàng mua trên 50 đô sẽ được giảm giá thêm."
"Part7_Topics","mua-giam-gia-p7","affordable","có giá cả phải chăng","adj","/əˈfɔːr.də.bəl/","We aim to provide high-quality goods at affordable prices.","Chúng tôi hướng tới cung cấp hàng chất lượng cao với giá cả phải chăng."
"Part7_Topics","mua-giam-gia-p7","available","có sẵn để sử dụng","adj","/əˈveɪ.lə.bəl/","The new collection will be available in stores next week.","Bộ sưu tập mới sẽ có sẵn tại cửa hàng vào tuần tới."
"Part7_Topics","mua-giam-gia-p7","clearance sale","đợt xả hàng giá rẻ","noun","/ˈklɪr.əns seɪl/","We’re offering up to 70% off during our clearance sale.","Chúng tôi giảm giá đến 70% trong đợt xả hàng tồn kho."
"Part7_Topics","mua-giam-gia-p7","complimentary","miễn phí, tặng kèm","adj","/ˌkɑːm.pləˈmen.t̬ɚ.i/","All guests will receive a complimentary tote bag at checkout.","Tất cả khách sẽ nhận được túi vải miễn phí khi thanh toán."
"Part7_Topics","mua-giam-gia-p7","consumer","người tiêu dùng","noun","/kənˈsuː.mɚ/","Our goal is to provide better value for every consumer.","Mục tiêu của chúng tôi là mang lại giá trị tốt hơn cho mọi người tiêu dùng."
"Part7_Topics","mua-giam-gia-p7","eligible","đủ điều kiện","adj","/ˈel.ə.dʒə.bəl/","Customers are eligible for a free gift with any purchase over $100.","Khách hàng đủ điều kiện nhận quà tặng miễn phí với đơn hàng trên 100 đô."
"Part7_Topics","mua-giam-gia-p7","exceed","vượt quá giới hạn","verb","/ɪkˈsiːd/","Your purchase must not exceed the spending limit.","Mua hàng của bạn không được vượt quá giới hạn chi tiêu."
"Part7_Topics","mua-giam-gia-p7","free of charge","miễn phí","adverb","/friː əv tʃɑːrdʒ/","All deliveries within the city are free of charge.","Tất cả đơn giao hàng trong thành phố đều miễn phí."
"Part7_Topics","mua-giam-gia-p7","in bulk","mua bán số lượng lớn","adverb","/ɪn bʌlk/","Buying office supplies in bulk can save money.","Mua văn phòng phẩm số lượng lớn có thể tiết kiệm chi phí."
"Part7_Topics","mua-giam-gia-p7","in installments","trả góp","adverb","/ɪn ɪnˈstɑːl.mənts/","The laptop can be paid for in installments over 6 months.","Chiếc laptop có thể được thanh toán theo hình thức trả góp trong vòng 6 tháng."
"Part7_Topics","mua-giam-gia-p7","including","bao gồm","preposition","/ɪnˈkluː.dɪŋ/","The discount applies to all items, including clearance products.","Giảm giá áp dụng cho tất cả sản phẩm, bao gồm cả hàng xả kho."
"Part7_Topics","mua-giam-gia-p7","inventory","hàng tồn kho","noun","/ˈɪn.vən.tɔːr.i/","The store is offering big discounts to clear out old inventory.","Cửa hàng đang giảm giá mạnh để xả hàng tồn."
"Part7_Topics","mua-giam-gia-p7","invoice","hóa đơn","noun","/ˈɪn.vɔɪs/","The invoice must be paid within 30 days of purchase.","Hóa đơn phải được thanh toán trong vòng 30 ngày kể từ khi mua."
"Part7_Topics","mua-giam-gia-p7","limited","có giới hạn","adj","/ˈlɪm.ɪ.t̬ɪd/","This special offer is available for a limited time only.","Ưu đãi đặc biệt này chỉ có hiệu lực trong thời gian giới hạn."
"Part7_Topics","mua-giam-gia-p7","markdown","giảm giá","noun","/ˈmɑːrk.daʊn/","Many items have been marked down for the end-of-season sale.","Nhiều mặt hàng đã được giảm giá cho đợt xả hàng cuối mùa."
"Part7_Topics","mua-giam-gia-p7","office supplies","văn phòng phẩm","noun","/ˈɑː.fɪs səˌplaɪz/","We received a bulk order of office supplies yesterday.","Chúng tôi đã nhận được một đơn hàng văn phòng phẩm số lượng lớn hôm qua."
"Part7_Topics","mua-giam-gia-p7","promotional","liên quan đến quảng cáo, khuyến mãi","adj","/prəˈmoʊ.ʃən.əl/","The store is offering promotional discounts during the holiday season.","Cửa hàng đang cung cấp các chương trình khuyến mãi trong mùa lễ."
"Part7_Topics","mua-giam-gia-p7","redeem","đổi phiếu, mã để nhận hàng hoặc giảm giá","verb","/rɪˈdiːm/","You can redeem this coupon for 10% off your next purchase.","Bạn có thể đổi phiếu này để được giảm 10% cho lần mua tiếp theo."
"Part7_Topics","mua-giam-gia-p7","reduced rate","mức giá giảm","noun","/rɪˈduːst reɪt/","We offer reduced rates for group bookings.","Chúng tôi cung cấp mức giá ưu đãi cho đặt chỗ theo nhóm."
"Part7_Topics","mua-giam-gia-p7","renew","gia hạn hoặc làm mới dịch vụ, đăng ký","verb","/rɪˈnuː/","You can renew your membership online and receive a 10% discount.","Bạn có thể gia hạn tư cách thành viên trực tuyến và nhận giảm giá 10%."
"Part7_Topics","mua-giam-gia-p7","retailer","nhà bán lẻ","noun","/ˈriː.teɪ.lɚ/","Retailers across the country are preparing for the holiday shopping season.","Các nhà bán lẻ trên toàn quốc đang chuẩn bị cho mùa mua sắm lễ hội."
"Part7_Topics","mua-giam-gia-p7","souvenir","đồ lưu niệm","noun","/ˌsuː.vəˈnɪr/","Tourists often buy local souvenirs as gifts.","Khách du lịch thường mua quà lưu niệm địa phương làm quà tặng."
"Part7_Topics","mua-giam-gia-p7","special offer","ưu đãi đặc biệt","noun","/ˈspeʃ.əl ˈɑː.fɚ/","This weekend only: Buy one, get one free special offer.","Chỉ cuối tuần này: Mua một tặng một – ưu đãi đặc biệt."
"Part7_Topics","mua-giam-gia-p7","store credit","tín dụng cửa hàng","noun","/stɔːr ˈkred.ɪt/","Returned items will be refunded as store credit.","Các mặt hàng trả lại sẽ được hoàn dưới dạng tín dụng cửa hàng."
"Part7_Topics","mua-giam-gia-p7","take advantage of","tận dụng cơ hội","verb","/teɪk ədˈvæn.t̬ɪdʒ əv/","Take advantage of our year-end sale before it ends!","Hãy tận dụng đợt giảm giá cuối năm trước khi kết thúc!"
"Part7_Topics","mua-giam-gia-p7","vendor","nhà cung cấp hoặc người bán hàng","noun","/ˈven.dɚ/","Please contact the vendor directly for product support.","Vui lòng liên hệ trực tiếp với nhà cung cấp để được hỗ trợ sản phẩm."
"Part7_Topics","mua-giam-gia-p7","warranty","bảo hành","noun","/ˈwɔːr.ən.t̬i/","The printer comes with a one-year warranty.","Máy in đi kèm với bảo hành một năm."
"Part7_Topics","de-xuat-p7","appropriate","phù hợp","adj","/əˈproʊ.pri.ət/","Please wear appropriate attire for the business meeting.","Vui lòng mặc trang phục phù hợp cho cuộc họp kinh doanh."
"Part7_Topics","de-xuat-p7","assign","phân công nhiệm vụ","verb","/əˈsaɪn/","The manager will assign tasks based on each employee’s strengths.","Quản lý sẽ phân công nhiệm vụ dựa trên thế mạnh của từng nhân viên."
"Part7_Topics","de-xuat-p7","attentive","chú ý và quan tâm","adj","/əˈten.t̬ɪv/","The staff was attentive to every detail of the presentation.","Nhân viên rất chú ý đến từng chi tiết của bài thuyết trình."
"Part7_Topics","de-xuat-p7","attitude","thái độ hoặc quan điểm về người, việc, tình huống","noun","/ˈæt̬.ə.tuːd/","Her positive attitude contributed greatly to the team's success.","Thái độ tích cực của cô ấy đã đóng góp lớn vào thành công của cả nhóm."
"Part7_Topics","de-xuat-p7","certificate","chứng chỉ","noun","/sɚˈtɪf.ə.kət/","You will receive a certificate upon completing the training program.","Bạn sẽ nhận được chứng chỉ khi hoàn thành chương trình đào tạo."
"Part7_Topics","de-xuat-p7","considerate","chu đáo, quan tâm đến người khác","adj","/kənˈsɪd.ɚ.ət/","She is always considerate of her coworkers’ opinions.","Cô ấy luôn chu đáo và quan tâm đến ý kiến của đồng nghiệp."
"Part7_Topics","de-xuat-p7","cooperation","sự hợp tác","noun","/koʊˌɑː.pəˈreɪ.ʃən/","We appreciate your cooperation in improving customer service.","Chúng tôi đánh giá cao sự hợp tác của bạn trong việc cải thiện dịch vụ khách hàng."
"Part7_Topics","de-xuat-p7","demonstrate","chứng minh hoặc thể hiện rõ ràng","verb","/ˈdem.ən.streɪt/","She demonstrated excellent leadership skills during the workshop.","Cô ấy đã thể hiện kỹ năng lãnh đạo xuất sắc trong buổi hội thảo."
"Part7_Topics","de-xuat-p7","endeavor","nỗ lực, cố gắng","noun","/enˈdev.ɚ/","We wish you the best of luck in your future endeavors.","Chúng tôi chúc bạn may mắn trong những nỗ lực sắp tới."
"Part7_Topics","de-xuat-p7","exemplary","gương mẫu, xuất sắc","adj","/ɪɡˈzem.plɚ.i/","She received an award for her exemplary performance.","Cô ấy nhận được giải thưởng cho thành tích gương mẫu của mình."
"Part7_Topics","de-xuat-p7","potential","có tiềm năng phát triển","adj","/pəˈten.ʃəl/","This candidate has strong potential for a leadership role.","Ứng viên này có tiềm năng lớn để đảm nhiệm vai trò lãnh đạo."
"Part7_Topics","de-xuat-p7","promising","đầy hứa hẹn","adj","/ˈprɑː.mɪ.sɪŋ/","He is a promising young designer with innovative ideas.","Anh ấy là một nhà thiết kế trẻ đầy hứa hẹn với những ý tưởng sáng tạo."
"Part7_Topics","de-xuat-p7","qualification","trình độ chuyên môn hoặc kỹ năng cần có","noun","/ˌkwɑː.lə.fəˈkeɪ.ʃən/","Applicants must meet the minimum qualifications for the position.","Ứng viên phải đáp ứng các tiêu chuẩn tối thiểu cho vị trí này."
"Part7_Topics","de-xuat-p7","reference","người hoặc tài liệu giới thiệu","noun","/ˈref.ɚ.əns/","Please provide two professional references with your application.","Vui lòng cung cấp hai người giới thiệu chuyên nghiệp cùng hồ sơ của bạn."
"Part7_Topics","dich-vu-p7","appointment","cuộc hẹn chính thức","noun","/əˈpɔɪnt.mənt/","Please arrive 10 minutes early for your appointment.","Vui lòng đến sớm 10 phút trước cuộc hẹn của bạn."
"Part7_Topics","dich-vu-p7","access","quyền truy cập, sử dụng dịch vụ hoặc nơi chốn","noun","/ˈæk.ses/","Guests have access to the fitness center 24 hours a day.","Khách được sử dụng phòng tập thể dục 24/24."
"Part7_Topics","dich-vu-p7","accommodation","chỗ ở","noun","/əˌkɑː.məˈdeɪ.ʃən/","The hotel offers affordable accommodation near the airport.","Khách sạn cung cấp chỗ ở giá phải chăng gần sân bay."
"Part7_Topics","dich-vu-p7","sign up for","đăng ký tham gia","verb","/saɪn ʌp fɔːr/","You can sign up for the newsletter on our website.","Bạn có thể đăng ký nhận bản tin trên trang web của chúng tôi."
"Part7_Topics","dich-vu-p7","assistance","sự giúp đỡ, hỗ trợ","noun","/əˈsɪs.təns/","Please call the front desk if you need any assistance.","Vui lòng gọi lễ tân nếu bạn cần bất kỳ sự hỗ trợ nào."
"Part7_Topics","dich-vu-p7","amenity","tiện nghi","noun","/əˈmen.ə.t̬i/","The hotel offers many amenities such as a spa, gym, and pool.","Khách sạn cung cấp nhiều tiện nghi như spa, phòng gym và hồ bơi."
"Part7_Topics","dich-vu-p7","convenience","sự tiện lợi","noun","/kənˈviː.ni.əns/","We offer online booking for your convenience.","Chúng tôi cung cấp dịch vụ đặt lịch trực tuyến để thuận tiện cho bạn."
"Part7_Topics","dich-vu-p7","dealership","đại lý bán hàng","noun","/ˈdiː.lɚ.ʃɪp/","You can purchase the vehicle at any authorized dealership.","Bạn có thể mua xe tại bất kỳ đại lý được ủy quyền nào."
"Part7_Topics","dich-vu-p7","authorized","được ủy quyền","adj","/ˈɑː.θɚ.aɪzd/","Only authorized personnel are allowed to access this area.","Chỉ nhân viên được ủy quyền mới được phép vào khu vực này."
"Part7_Topics","dich-vu-p7","expire","hết hạn","verb","/ɪkˈspaɪr/","Your membership will expire at the end of the month.","Tư cách thành viên của bạn sẽ hết hạn vào cuối tháng."
"Part7_Topics","dich-vu-p7","extend","gia hạn","verb","/ɪkˈstend/","We’d like to extend your free trial by one week.","Chúng tôi muốn gia hạn thời gian dùng thử miễn phí của bạn thêm một tuần."
"Part7_Topics","dich-vu-p7","maintenance","bảo trì","noun","/ˈmeɪn.tən.əns/","Regular maintenance helps prevent unexpected breakdowns.","Bảo trì thường xuyên giúp ngăn ngừa hỏng hóc bất ngờ."
"Part7_Topics","dich-vu-p7","reliable","đáng tin cậy","adj","/rɪˈlaɪ.ə.bəl/","We are known for providing fast and reliable service.","Chúng tôi nổi tiếng vì cung cấp dịch vụ nhanh chóng và đáng tin cậy."
"Part7_Topics","dich-vu-p7","termination","sự chấm dứt","noun","/ˌtɝː.məˈneɪ.ʃən/","The contract includes a 30-day notice period before termination.","Hợp đồng bao gồm thời hạn thông báo 30 ngày trước khi chấm dứt."
"Part7_Topics","kinh-doanh-p7-1","approval","sự chấp thuận","noun","/əˈpruː.vəl/","The proposal is still waiting for final approval.","Đề xuất vẫn đang chờ phê duyệt cuối cùng."
"Part7_Topics","kinh-doanh-p7-1","bid","mức đấu thầu","noun","/bɪd/","The construction company submitted the lowest bid.","Công ty xây dựng đã nộp mức đấu thầu thấp nhất."
"Part7_Topics","kinh-doanh-p7-1","boost","tăng cường, cải thiện","verb","/buːst/","The marketing campaign helped boost sales by 25%.","Chiến dịch marketing đã giúp tăng doanh số 25%."
"Part7_Topics","kinh-doanh-p7-1","distribution","quá trình phân phối sản phẩm hoặc dịch vụ","noun","/ˌdɪs.trəˈbjuː.ʃən/","The company improved its distribution network to reach more markets.","Công ty đã cải thiện mạng lưới phân phối để tiếp cận nhiều thị trường hơn."
"Part7_Topics","kinh-doanh-p7-1","endorsement","sự ủng hộ hoặc chứng thực từ người nổi tiếng","noun","/ɪnˈdɔːrs.mənt/","The brand received a celebrity endorsement that boosted its popularity.","Thương hiệu nhận được sự chứng thực từ người nổi tiếng giúp tăng độ phổ biến."
"Part7_Topics","kinh-doanh-p7-1","expansion","sự mở rộng","noun","/ɪkˈspæn.ʃən/","The company is planning international expansion next year.","Công ty đang lên kế hoạch mở rộng ra quốc tế vào năm sau."
"Part7_Topics","kinh-doanh-p7-1","expense","chi phí","noun","/ɪkˈspens/","Travel expenses must be submitted within five business days.","Chi phí đi công tác phải được nộp trong vòng năm ngày làm việc."
"Part7_Topics","kinh-doanh-p7-1","facilitate","tạo điều kiện thuận lợi","verb","/fəˈsɪl.ə.teɪt/","The new software will facilitate communication between departments.","Phần mềm mới sẽ tạo điều kiện thuận lợi cho việc giao tiếp giữa các phòng ban."
"Part7_Topics","kinh-doanh-p7-1","feasible","khả thi, có thể thực hiện được","adj","/ˈfiː.zə.bəl/","The proposal is technically feasible but requires more funding.","Đề xuất có tính khả thi về mặt kỹ thuật nhưng cần thêm kinh phí."
"Part7_Topics","kinh-doanh-p7-1","figure","con số thống kê","noun","/ˈfɪɡ.jɚ/","Sales figures for the first quarter exceeded expectations.","Doanh số quý đầu tiên vượt quá kỳ vọng."
"Part7_Topics","kinh-doanh-p7-1","license","giấy phép","noun","/ˈlaɪ.səns/","The restaurant must renew its business license annually.","Nhà hàng phải gia hạn giấy phép kinh doanh hàng năm."
"Part7_Topics","kinh-doanh-p7-1","market share","thị phần","noun","/ˈmɑːr.kɪt ʃer/","The brand has increased its market share in Asia.","Thương hiệu đã tăng thị phần tại châu Á."
"Part7_Topics","kinh-doanh-p7-1","profitable","sinh lợi, mang lại lợi nhuận","adj","/ˈprɑː.fɪ.t̬ə.bəl/","The company found a profitable niche in the online education market.","Công ty đã tìm được một thị trường ngách sinh lợi trong mảng giáo dục trực tuyến."
"Part7_Topics","kinh-doanh-p7-1","release","phát hành, ra mắt","verb","/rɪˈliːs/","The company plans to release a new product line next month.","Công ty dự định ra mắt dòng sản phẩm mới vào tháng tới."
"Part7_Topics","kinh-phi-p7","allot","phân bổ","verb","/əˈlɑːt/","Each department was allotted a fixed budget for the quarter.","Mỗi phòng ban được phân bổ ngân sách cố định cho quý này."
"Part7_Topics","kinh-phi-p7","approximately","khoảng, xấp xỉ","adverb","/əˈprɑːk.sə.mət.li/","The project cost approximately $200,000 to complete.","Dự án tiêu tốn khoảng 200.000 đô để hoàn thành."
"Part7_Topics","kinh-phi-p7","asset","tài sản","noun","/ˈæs.et/","The company’s assets include real estate and equipment.","Tài sản của công ty bao gồm bất động sản và thiết bị."
"Part7_Topics","kinh-phi-p7","budget","ngân sách","noun","/ˈbʌdʒ.ɪt/","The marketing team received an increased budget for next quarter.","Đội ngũ marketing nhận được ngân sách tăng cho quý tới."
"Part7_Topics","kinh-phi-p7","contribution","sự đóng góp","noun","/ˌkɑːn.trɪˈbjuː.ʃən/","Her contribution to the fundraising event was greatly appreciated.","Sự đóng góp của cô ấy cho sự kiện gây quỹ được đánh giá rất cao."
"Part7_Topics","kinh-phi-p7","financial","liên quan đến tài chính","adj","/faɪˈnæn.ʃəl/","The company is facing financial difficulties due to lower revenue.","Công ty đang đối mặt với khó khăn tài chính do doanh thu giảm."
"Part7_Topics","kinh-phi-p7","fundraising","hoạt động gây quỹ","noun","/ˈfʌndˌreɪ.zɪŋ/","The organization hosted a fundraising dinner for the local hospital.","Tổ chức đã tổ chức một bữa tối gây quỹ cho bệnh viện địa phương."
"Part7_Topics","kinh-phi-p7","immensely","vô cùng, cực kỳ","adverb","/ɪˈmens.li/","We are immensely grateful for your generous support.","Chúng tôi vô cùng biết ơn sự hỗ trợ hào phóng của bạn."
"Part7_Topics","kinh-phi-p7","monetary donation","khoản đóng góp bằng tiền","noun","/ˈmʌ.nə.ter.i doʊˈneɪ.ʃən/","The foundation received a large monetary donation from a corporate sponsor.","Tổ chức đã nhận được khoản quyên góp tiền lớn từ một nhà tài trợ doanh nghiệp."
"Part7_Topics","kinh-phi-p7","possess","sở hữu, nắm giữ cái gì đó","verb","/pəˈzes/","Applicants must possess strong organizational and budgeting skills.","Ứng viên phải sở hữu kỹ năng tổ chức và lập ngân sách tốt."
"Part7_Topics","kinh-phi-p7","proceeds","số tiền thu được","noun","/ˈproʊ.siːdz/","All proceeds from the auction will go to charity.","Tất cả số tiền thu được từ buổi đấu giá sẽ được chuyển cho tổ chức từ thiện."
