"Category","Album","Word","Meaning","PartOfSpeech","Pronunciation","Example_English","Example_Vietnamese"
"Listening_Topics","Su-co-ky-thuat-LC","we are going to run out of paper soon","chúng ta sắp hết giấy","sentence","/wi ɑːr ˈɡoʊ.ɪŋ tuː rʌn aʊt əv ˈpeɪ.pɚ suːn/","We are going to run out of paper soon if we keep printing.","Chúng ta sẽ sớm hết giấy nếu tiếp tục in như vậy."
"Listening_Topics","Su-co-ky-thuat-LC","break down","hỏng hóc, ngừng hoạt động","phrase","/breɪk daʊn/","The copier broke down during an important task.","Máy photocopy bị hỏng trong lúc đang làm việc quan trọng."
"Listening_Topics","Su-co-ky-thuat-LC","battery","pin năng lượng","noun","/ˈbæt̬.ɚ.i/","The battery is low and needs to be recharged.","Pin yếu và cần được sạc lại."
"Listening_Topics","Su-co-ky-thuat-LC","socket","ổ cắm điện","noun","/ˈsɑː.kɪt/","Make sure the charger is plugged into the socket properly.","Hãy chắc chắn rằng bộ sạc được cắm đúng vào ổ cắm."
"Listening_Topics","Su-co-ky-thuat-LC","cable","dây dẫn điện hoặc tín hiệu giữa các thiết bị","noun","/ˈkeɪ.bəl/","The internet cable was unplugged accidentally.","Dây mạng đã bị rút ra một cách vô tình."
"Listening_Topics","Su-co-ky-thuat-LC","button","nút bấm trên thiết bị","noun","/ˈbʌt̬.ən/","The power button isn’t responding when I press it.","Nút nguồn không phản hồi khi tôi nhấn."
"Listening_Topics","Su-co-ky-thuat-LC","press","nhấn vào bề mặt hoặc nút để kích hoạt","verb","/pres/","You need to press the green button to start copying.","Bạn cần nhấn nút màu xanh để bắt đầu sao chép."
"Listening_Topics","Su-co-ky-thuat-LC","turn off","tắt thiết bị","verb","/tɝːn ɔːf/","Please turn off the projector after the meeting.","Vui lòng tắt máy chiếu sau cuộc họp."
"Listening_Topics","Su-co-ky-thuat-LC","turn on","bật lên","verb","/tɝːn ɑːn/","Please turn on the projector before the presentation begins.","Vui lòng bật máy chiếu trước khi buổi thuyết trình bắt đầu."
"Listening_Topics","Su-co-ky-thuat-LC","set up","cài đặt hoặc chuẩn bị sẵn sàng sử dụng","verb","/set ʌp/","The technician came to set up the new printer.","Kỹ thuật viên đã đến để cài đặt máy in mới."
"Listening_Topics","Su-co-ky-thuat-LC","error","lỗi","noun","/ˈer.ɚ/","The screen shows an error when we try to print.","Màn hình hiển thị lỗi khi chúng tôi cố in."
"Listening_Topics","Su-co-ky-thuat-LC","display monitor","màn hình hiển thị","phrase","/dɪˈspleɪ ˈmɑː.nə.tɚ/","The display monitor isn’t showing anything.","Màn hình hiển thị không hiển thị gì cả."
"Listening_Topics","Su-co-ky-thuat-LC","malfunction","bị lỗi, không hoạt động đúng cách","verb","/ˌmælˈfʌŋk.ʃən/","The projector malfunctioned during the presentation.","Máy chiếu bị lỗi trong buổi thuyết trình."
"Listening_Topics","Su-co-ky-thuat-LC","malfunction","thiết bị hoạt động sai","noun","/ˌmælˈfʌŋk.ʃən/","We had to cancel the session due to equipment malfunction.","Chúng tôi phải hủy buổi họp vì thiết bị bị lỗi."
"Listening_Topics","Phuong-tien-cong-cong-LC","train station","nhà ga tàu hỏa","noun","/treɪn ˈsteɪ.ʃən/","We arrived at the train station just in time to catch the 8 a.m. train.","Chúng tôi đến nhà ga vừa kịp để bắt chuyến tàu 8 giờ sáng."
"Listening_Topics","Phuong-tien-cong-cong-LC","express train","tàu tốc hành","noun","/ɪkˈspres treɪn/","The express train takes only 45 minutes to reach the airport.","Tàu tốc hành chỉ mất 45 phút để đến sân bay."
"Listening_Topics","Phuong-tien-cong-cong-LC","platform","sân ga","noun","/ˈplæt.fɔːrm/","Please wait on platform 2 for the next train to Chicago.","Vui lòng chờ tại sân ga số 2 cho chuyến tàu tiếp theo đi Chicago."
"Listening_Topics","Phuong-tien-cong-cong-LC","depart","rời đi","verb","/dɪˈpɑːrt/","The bus will depart from Gate 3 at exactly 10 a.m.","Xe buýt sẽ rời khỏi Cổng 3 vào đúng 10 giờ sáng."
"Listening_Topics","Phuong-tien-cong-cong-LC","arrive","đến nơi","verb","/əˈraɪv/","The subway is expected to arrive in five minutes.","Tàu điện ngầm dự kiến sẽ đến trong năm phút nữa."
"Listening_Topics","Phuong-tien-cong-cong-LC","conductor","người soát vé trên xe buýt, tàu","noun","/kənˈdʌk.tɚ/","The conductor checked our tickets before we boarded the train.","Người soát vé đã kiểm tra vé trước khi chúng tôi lên tàu."
"Listening_Topics","Phuong-tien-cong-cong-LC","final destination","điểm đến cuối cùng","noun","/ˈfaɪ.nəl ˌdes.təˈneɪ.ʃən/","The final destination of this train is Central Station.","Điểm đến cuối cùng của chuyến tàu này là Ga Trung tâm."
"Listening_Topics","Phuong-tien-cong-cong-LC","take the train","đi tàu","verb","/teɪk ðə treɪn/","Many commuters take the train to work every morning.","Nhiều người đi làm bằng tàu mỗi sáng."
"Listening_Topics","Phuong-tien-cong-cong-LC","catch a train","kịp chuyến tàu","verb","/kætʃ ə treɪn/","Hurry up if you want to catch the next train.","Nhanh lên nếu bạn muốn kịp chuyến tàu tiếp theo."
"Listening_Topics","Phuong-tien-cong-cong-LC","get off the train","xuống tàu","verb","/ɡet ɔːf ðə treɪn/","You should get off the train at the next station.","Bạn nên xuống tàu ở ga kế tiếp."
"Listening_Topics","Phuong-tien-cong-cong-LC","get off the bus","xuống xe buýt","verb","/ɡet ɔːf ðə bʌs/","I usually get off the bus two blocks before the office.","Tôi thường xuống xe buýt cách văn phòng hai dãy nhà."
"Listening_Topics","Phuong-tien-cong-cong-LC","leave from","khởi hành từ","verb","/liːv frəm/","The train will leave from platform 6 at 9:30 a.m.","Tàu sẽ khởi hành từ sân ga số 6 lúc 9:30 sáng."
"Listening_Topics","Phuong-tien-cong-cong-LC","commute","đi lại giữa nhà và nơi làm việc/trường học","verb","/kəˈmjuːt/","Many employees commute to the city by train every day.","Nhiều nhân viên đi làm ở thành phố bằng tàu mỗi ngày."
"Listening_Topics","Phuong-tien-cong-cong-LC","traffic jam","kẹt xe","noun","/ˈtræf.ɪk ˌdʒæm/","We were late because of a traffic jam on Main Street.","Chúng tôi đến muộn vì kẹt xe ở đường Main."
"Listening_Topics","Phuong-tien-cong-cong-LC","bus stop","trạm xe buýt","noun","/bʌs stɑːp/","She waited at the bus stop for nearly twenty minutes.","Cô ấy chờ tại trạm xe buýt gần hai mươi phút."
"Listening_Topics","Phuong-tien-cong-cong-LC","driver","người lái xe","noun","/ˈdraɪ.vɚ/","The bus driver announced the next stop clearly.","Tài xế xe buýt đã thông báo rõ ràng trạm dừng tiếp theo."
"Listening_Topics","Phuong-tien-cong-cong-LC","season ticket","vé tháng hoặc vé dài hạn đi lại không giới hạn","noun","/ˈsiː.zən ˌtɪk.ɪt/","She bought a season ticket to save money on her daily commute.","Cô ấy mua vé tháng để tiết kiệm chi phí đi lại hằng ngày."
"Listening_Topics","Phuong-tien-cong-cong-LC","cab","taxi","noun","/kæb/","We took a cab to the train station because it was raining.","Chúng tôi đi taxi đến nhà ga vì trời đang mưa."
"Listening_Topics","Phuong-tien-cong-cong-LC","ferry","phà chở người và xe qua sông hoặc biển","noun","/ˈfer.i/","The ferry to the island departs every hour.","Phà ra đảo khởi hành mỗi giờ."
"Listening_Topics","Khach-san-LC","reserve","đặt trước","verb","/rɪˈzɝːv/","I'd like to reserve a double room for two nights.","Tôi muốn đặt một phòng đôi cho hai đêm."
"Listening_Topics","Khach-san-LC","book","đặt trước dịch vụ","verb","/bʊk/","She booked a hotel near the convention center.","Cô ấy đã đặt khách sạn gần trung tâm hội nghị."
"Listening_Topics","Khach-san-LC","amenities","tiện nghi","noun","/əˈmen.ə.t̬iz/","The hotel offers modern amenities including a spa and fitness center.","Khách sạn cung cấp tiện nghi hiện đại gồm spa và trung tâm thể hình."
"Listening_Topics","Khach-san-LC","complimentary breakfast","bữa sáng miễn phí","noun","/ˌkɑːm.pləˈmen.t̬ɚ.i ˈbrek.fəst/","This hotel includes complimentary breakfast for all guests.","Khách sạn này bao gồm bữa sáng miễn phí cho tất cả khách."
"Listening_Topics","Khach-san-LC","check in","làm thủ tục nhận phòng","verb","/tʃek ɪn/","Guests can check in anytime after 2 p.m.","Khách có thể nhận phòng bất cứ lúc nào sau 2 giờ chiều."
"Listening_Topics","Khach-san-LC","check out","trả phòng","verb","/tʃek aʊt/","Please check out before 11 a.m. on your departure day.","Vui lòng trả phòng trước 11 giờ sáng vào ngày bạn rời đi."
"Listening_Topics","Khach-san-LC","deposit","tiền đặt cọc","noun","/dɪˈpɑː.zɪt/","The hotel requires a $100 deposit at check-in.","Khách sạn yêu cầu đặt cọc 100 đô khi nhận phòng."
"Listening_Topics","Khach-san-LC","front desk","quầy lễ tân","noun","/frʌnt desk/","You can ask for extra towels at the front desk.","Bạn có thể yêu cầu thêm khăn tại quầy lễ tân."
"Listening_Topics","Khach-san-LC","reception","quầy lễ tân","noun","/rɪˈsep.ʃən/","Please leave your key at the reception when checking out.","Vui lòng để lại chìa khóa tại quầy lễ tân khi trả phòng."
"Listening_Topics","Khach-san-LC","confirmation code","mã xác nhận","noun","/ˌkɑːn.fɚˈmeɪ.ʃən koʊd/","Please provide your confirmation code at check-in.","Vui lòng cung cấp mã xác nhận khi nhận phòng."
"Listening_Topics","Khach-san-LC","confirmation number","số xác nhận đặt phòng","noun","/ˌkɑːn.fɚˈmeɪ.ʃən ˈnʌm.bɚ/","Your confirmation number is printed on the booking receipt.","Số xác nhận của bạn được in trên biên nhận đặt phòng."
"Listening_Topics","Khach-san-LC","available","còn trống, có thể sử dụng","adj","/əˈveɪ.lə.bəl/","We only have one room available for tonight.","Chúng tôi chỉ còn một phòng trống cho đêm nay."
"Listening_Topics","Khach-san-LC","vacancy","phòng trống","noun","/ˈveɪ.kən.si/","The hotel has no vacancy during the holiday season.","Khách sạn không còn phòng trống trong mùa lễ."
"Listening_Topics","Khach-san-LC","vacant","trống, chưa sử dụng","adj","/ˈveɪ.kənt/","The only vacant room was on the top floor.","Phòng trống duy nhất là ở tầng cao nhất."
"Listening_Topics","Khach-san-LC","double bed","giường đôi","noun","/ˈdʌ.bəl bed/","We requested a room with a double bed.","Chúng tôi đã yêu cầu phòng có giường đôi."
"Listening_Topics","Khach-san-LC","king-size bed","giường cỡ lớn","noun","/ˈkɪŋ.saɪz bed/","The suite includes a king-size bed and a private balcony.","Phòng suite bao gồm giường cỡ lớn và ban công riêng."
"Listening_Topics","Khach-san-LC","housekeeping","bộ phận dọn phòng","noun","/ˈhaʊsˌkiː.pɪŋ/","Please contact housekeeping if you need extra towels.","Vui lòng liên hệ bộ phận dọn phòng nếu bạn cần thêm khăn tắm."
"Listening_Topics","Khach-san-LC","extend the reservation","kéo dài thời gian đặt phòng","verb","/ɪkˈstend ðə ˌrez.ɚˈveɪ.ʃən/","We’d like to extend the reservation for one more night.","Chúng tôi muốn kéo dài thời gian đặt phòng thêm một đêm."
"Listening_Topics","Khach-san-LC","noisy room","phòng ồn ào","noun","/ˈnɔɪ.zi ruːm/","We asked to move because our room was too noisy.","Chúng tôi yêu cầu đổi phòng vì phòng quá ồn."
"Listening_Topics","Khach-san-LC","quiet room","phòng yên tĩnh","noun","/ˈkwaɪ.ət ruːm/","I’d prefer a quiet room away from the street.","Tôi muốn một phòng yên tĩnh, tránh xa đường phố."
"Listening_Topics","Khach-san-LC","towel","khăn lau người","noun","/ˈtaʊ.əl/","Please call housekeeping if you need extra towels.","Vui lòng gọi bộ phận dọn phòng nếu bạn cần thêm khăn tắm."
"Listening_Topics","Khach-san-LC","room key","chìa khóa phòng khách sạn","noun","/ruːm kiː/","Don’t forget to return your room key at check-out.","Đừng quên trả lại chìa khóa phòng khi trả phòng."
"Listening_Topics","Khach-san-LC","sauna","phòng xông hơi thư giãn","noun","/ˈsɑː.nə/","The hotel offers a free sauna for all guests.","Khách sạn có phòng xông hơi miễn phí cho tất cả khách."
"Listening_Topics","Khach-san-LC","indoor pool","hồ bơi trong nhà","noun","/ˈɪn.dɔːr puːl/","Our indoor pool is open from 6 a.m. to 10 p.m. daily.","Hồ bơi trong nhà của chúng tôi mở cửa từ 6 giờ sáng đến 10 giờ tối hàng ngày."
"Listening_Topics","Khach-san-LC","call back","gọi lại","verb","/kɑːl bæk/","I’ll call you back after I check with the manager.","Tôi sẽ gọi lại cho bạn sau khi kiểm tra với quản lý."
"Listening_Topics","Khach-san-LC","confirm","xác nhận","verb","/kənˈfɝːm/","I’d like to confirm my reservation for next week.","Tôi muốn xác nhận đặt phòng cho tuần tới."
"Listening_Topics","Khach-san-LC","cancel","hủy bỏ","verb","/ˈkæn.səl/","You may cancel your reservation up to 24 hours in advance.","Bạn có thể hủy đặt phòng trước 24 giờ."
"Listening_Topics","Khach-san-LC","stay an additional night","ở thêm một đêm","verb","/steɪ ən əˈdɪʃ.ən.əl naɪt/","We’d like to stay an additional night if a room is available.","Chúng tôi muốn ở thêm một đêm nếu còn phòng."
"Listening_Topics","Khach-san-LC","make a reservation","đặt chỗ trước","verb","/meɪk ə ˌrez.ɚˈveɪ.ʃən/","I’d like to make a reservation for a double room.","Tôi muốn đặt một phòng đôi."
"Listening_Topics","Khach-san-LC","confirm a reservation","xác nhận đặt phòng","verb","/kənˈfɝːm ə ˌrez.ɚˈveɪ.ʃən/","I called to confirm my reservation for this weekend.","Tôi đã gọi để xác nhận đặt phòng cuối tuần này."
"Listening_Topics","Khach-san-LC","appointment","cuộc hẹn chính thức","noun","/əˈpɔɪnt.mənt/","I have an appointment for a massage at 3 p.m.","Tôi có hẹn massage lúc 3 giờ chiều."
"Listening_Topics","Khach-san-LC","reschedule","sắp xếp lại lịch hẹn","verb","/ˌriːˈskedʒ.uːl/","I’d like to reschedule my spa appointment to tomorrow.","Tôi muốn dời cuộc hẹn spa sang ngày mai."
"Listening_Topics","Khach-san-LC","change the sheets","thay ga trải giường","verb","/tʃeɪndʒ ðə ʃiːts/","Could you please change the sheets in our room?","Bạn có thể thay ga trải giường trong phòng chúng tôi không?"
"Listening_Topics","Khach-san-LC","private room","phòng riêng","noun","/ˈpraɪ.vət ruːm/","We reserved a private room for our meeting.","Chúng tôi đã đặt một phòng riêng cho cuộc họp."
"Listening_Topics","Khach-san-LC","banquet hall","phòng tiệc lớn","noun","/ˈbæŋ.kwɪt hɑːl/","The banquet hall can accommodate up to 200 guests.","Phòng tiệc có thể chứa tới 200 khách."
"Listening_Topics","Khach-san-LC","business trip","chuyến công tác","noun","/ˈbɪz.nəs trɪp/","He stayed at this hotel during his business trip.","Anh ấy đã ở khách sạn này trong chuyến công tác."
"Listening_Topics","Khach-san-LC","lodging","chỗ ở tạm thời","noun","/ˈlɑː.dʒɪŋ/","The company covers all lodging during your trip.","Công ty chi trả toàn bộ chỗ ở trong chuyến đi của bạn."
"Listening_Topics","Khach-san-LC","at the same rate","với cùng mức giá","phrase","/æt ðə seɪm reɪt/","Can we extend our stay at the same rate?","Chúng tôi có thể gia hạn lưu trú với cùng mức giá không?"
"Listening_Topics","Hang-hang-khong-LC","flight","chuyến bay","noun","/flaɪt/","Our flight to Tokyo departs at 10 a.m.","Chuyến bay đến Tokyo của chúng tôi khởi hành lúc 10 giờ sáng."
"Listening_Topics","Hang-hang-khong-LC","connecting flight","chuyến bay nối tiếp","noun","/kəˈnek.tɪŋ flaɪt/","We missed our connecting flight because the first flight was delayed.","Chúng tôi lỡ chuyến bay nối tiếp vì chuyến đầu bị trễ."
"Listening_Topics","Hang-hang-khong-LC","direct flight","chuyến bay thẳng","noun","/dəˈrekt flaɪt/","I prefer taking a direct flight to avoid layovers.","Tôi thích bay thẳng để tránh phải dừng chân."
"Listening_Topics","Hang-hang-khong-LC","baggage","hành lý","noun","/ˈbæɡ.ɪdʒ/","You can check in two pieces of baggage free of charge.","Bạn có thể ký gửi hai kiện hành lý miễn phí."
"Listening_Topics","Hang-hang-khong-LC","luggage","hành lý","noun","/ˈlʌɡ.ɪdʒ/","Her luggage was delayed and arrived the next day.","Hành lý của cô ấy bị trễ và đến vào ngày hôm sau."
"Listening_Topics","Hang-hang-khong-LC","weather conditions","tình hình thời tiết","noun","/ˈweð.ɚ kənˈdɪ.ʃənz/","The flight was delayed due to poor weather conditions.","Chuyến bay bị hoãn do điều kiện thời tiết xấu."
"Listening_Topics","Hang-hang-khong-LC","departure","sự khởi hành","noun","/dɪˈpɑːr.tʃɚ/","The departure time has been changed to 3:30 p.m.","Thời gian khởi hành đã được đổi thành 3:30 chiều."
"Listening_Topics","Hang-hang-khong-LC","one-way ticket","vé một chiều","noun","/ˌwʌn.weɪ ˈtɪk.ɪt/","She bought a one-way ticket to Paris.","Cô ấy đã mua vé một chiều đến Paris."
"Listening_Topics","Hang-hang-khong-LC","first class","hạng nhất","noun","/ˌfɝːst ˈklæs/","They were upgraded to first class for free.","Họ được nâng cấp lên hạng nhất miễn phí."
"Listening_Topics","Hang-hang-khong-LC","economy class","hạng ghế phổ thông","noun","/ɪˈkɑː.nə.mi klæs/","We booked two seats in economy class to save money.","Chúng tôi đã đặt hai ghế hạng phổ thông để tiết kiệm chi phí."
"Listening_Topics","Hang-hang-khong-LC","business class","hạng thương gia","noun","/ˈbɪz.nəs klæs/","Business class passengers board before economy.","Hành khách hạng thương gia lên máy bay trước hạng phổ thông."
"Listening_Topics","Hang-hang-khong-LC","carry-on baggage","hành lý xách tay","noun","/ˈker.i ɑːn ˈbæɡ.ɪdʒ/","Only one piece of carry-on baggage is allowed per passenger.","Mỗi hành khách chỉ được mang một kiện hành lý xách tay."
"Listening_Topics","Hang-hang-khong-LC","gate","cổng ra máy bay","noun","/ɡeɪt/","Your flight will depart from gate 12B.","Chuyến bay của bạn sẽ khởi hành từ cổng 12B."
"Listening_Topics","Hang-hang-khong-LC","flight attendant","tiếp viên hàng không","noun","/ˈflaɪt əˌten.dənt/","The flight attendant helped me find space for my carry-on.","Tiếp viên đã giúp tôi tìm chỗ để hành lý xách tay."
"Listening_Topics","Hang-hang-khong-LC","boarding pass","thẻ lên máy bay","noun","/ˈbɔːr.dɪŋ pæs/","You must present your boarding pass at the gate.","Bạn phải xuất trình thẻ lên máy bay tại cổng."
"Listening_Topics","Hang-hang-khong-LC","baggage carousel","băng chuyền hành lý","noun","/ˈbæɡ.ɪdʒ ˌker.əˈsel/","Passengers are waiting by the baggage carousel.","Hành khách đang chờ bên băng chuyền hành lý."
"Listening_Topics","Hang-hang-khong-LC","stopover","chặng dừng giữa chuyến bay","noun","/ˈstɑːpˌoʊ.vɚ/","We had a short stopover in Dubai before flying to Rome.","Chúng tôi có một chặng dừng ngắn tại Dubai trước khi bay đến Rome."
"Listening_Topics","Hang-hang-khong-LC","cabin","khoang hành khách trên máy bay","noun","/ˈkæb.ɪn/","Please remain seated until the cabin lights are on.","Vui lòng ngồi yên cho đến khi đèn khoang sáng."
"Listening_Topics","Hang-hang-khong-LC","be bound for","đi đến, hướng tới một điểm đến cụ thể","verb","/baʊnd fɔːr/","This flight is bound for Los Angeles with a stop in Denver.","Chuyến bay này đi đến Los Angeles và dừng tại Denver."
"Listening_Topics","Hang-hang-khong-LC","on board","trên tàu, máy bay hoặc phương tiện giao thông khác","adv","/ɑːn bɔːrd/","Welcome on board and thank you for choosing our airline.","Chào mừng quý khách lên máy bay và cảm ơn đã chọn hãng hàng không của chúng tôi."
"Listening_Topics","Hang-hang-khong-LC","take an earlier flight","đi chuyến bay sớm hơn","verb","/teɪk æn ˈɜːr.li.ɚ flaɪt/","I’d like to take an earlier flight if there’s one available.","Tôi muốn đi chuyến bay sớm hơn nếu có."
"Listening_Topics","Hang-hang-khong-LC","fly to","bay đến","verb","/flaɪ tuː/","I’m flying to Singapore next Monday for a business meeting.","Tôi sẽ bay đến Singapore vào thứ Hai tới để họp công việc."
"Listening_Topics","Hang-hang-khong-LC","check in","làm thủ tục lên máy bay","verb","/tʃek ɪn/","You should check in at least two hours before departure.","Bạn nên làm thủ tục ít nhất hai giờ trước giờ bay."
"Listening_Topics","Hang-hang-khong-LC","miss a flight","lỡ chuyến bay","verb","/mɪs ə flaɪt/","I missed my flight because of a traffic jam.","Tôi bị lỡ chuyến bay vì kẹt xe."
"Listening_Topics","Hang-hang-khong-LC","book a flight from A to B","đặt vé máy bay từ A đến B","verb","/bʊk ə flaɪt frəm eɪ tuː biː/","I booked a flight from Hanoi to Da Nang for next Friday.","Tôi đã đặt vé bay từ Hà Nội đến Đà Nẵng cho thứ Sáu tới."
"Listening_Topics","Hang-hang-khong-LC","assign seats","chỉ định chỗ ngồi","verb","/əˈsaɪn siːts/","The airline will assign seats at the check-in counter.","Hãng hàng không sẽ chỉ định chỗ ngồi tại quầy làm thủ tục."
"Listening_Topics","Hang-hang-khong-LC","the flight has been canceled","chuyến bay đã bị hủy","sentence","/ðə flaɪt hæz bɪn ˈkæn.səld/","The flight has been canceled due to severe weather.","Chuyến bay đã bị hủy do thời tiết xấu nghiêm trọng."
"Listening_Topics","Hang-hang-khong-LC","storm","cơn bão lớn với mưa gió mạnh","noun","/stɔːrm/","The storm delayed all outbound flights.","Cơn bão đã làm trì hoãn tất cả chuyến bay đi."
"Listening_Topics","Nhan-su-LC-1","position","vị trí công việc","noun","/pəˈzɪʃ.ən/","She applied for a marketing position at the head office.","Cô ấy đã nộp đơn cho vị trí tiếp thị tại trụ sở chính."
"Listening_Topics","Nhan-su-LC-1","director","giám đốc","noun","/dəˈrek.tɚ/","The finance director will present the annual report tomorrow.","Giám đốc tài chính sẽ trình bày báo cáo thường niên vào ngày mai."
"Listening_Topics","Nhan-su-LC-1","manager","người quản lý","noun","/ˈmæn.ə.dʒɚ/","The store manager is responsible for supervising all employees.","Quản lý cửa hàng chịu trách nhiệm giám sát tất cả nhân viên."
"Listening_Topics","Nhan-su-LC-1","supervisor","người giám sát","noun","/ˈsuː.pɚ.vaɪ.zɚ/","The supervisor closely monitored the new employees’ performance.","Người giám sát theo dõi sát sao hiệu suất của các nhân viên mới."
"Listening_Topics","Nhan-su-LC-1","assistant","trợ lý","noun","/əˈsɪs.tənt/","The assistant helped prepare documents for the meeting.","Trợ lý đã giúp chuẩn bị tài liệu cho cuộc họp."
"Listening_Topics","Nhan-su-LC-1","staff","nhân viên","noun","/stæf/","All staff must attend the safety training next week.","Tất cả nhân viên phải tham gia buổi đào tạo an toàn vào tuần tới."
"Listening_Topics","Nhan-su-LC-1","colleague","đồng nghiệp","noun","/ˈkɑː.liːɡ/","She discussed the new policy with her colleagues in the meeting.","Cô ấy đã thảo luận chính sách mới với các đồng nghiệp trong cuộc họp."
"Listening_Topics","Nhan-su-LC-1","coworker","người làm cùng","noun","/ˈkoʊˌwɝː.kɚ/","I share an office space with three other coworkers.","Tôi chia sẻ không gian văn phòng với ba đồng nghiệp khác."
